name,number,position,status,height,weight,experience,college,team_key
Jonathan Ford,99,DT,ACT,77,338,,R,29
Rudy Ford,20,DB,ACT,72,200,6,Auburn,29
Benjie Franklin,,DB,CUT,72,185,,R,29
Travis Fulgham,86,WR,DEV,74,215,3,Old Dominion,29
Innis Gaines,38,SAF,ACT,73,202,1,TCU,29
Tipa Galeai,40,LB,RSR,77,229,2,Utah State,29
Jonathan Garvin,53,LB,ACT,76,257,3,Miami,29
Rashan Gary,52,OLB,RES,77,277,4,Michigan,29
Tyler Goodson,39,RB,DEV,69,197,,R,29
Nick Guggemos,89,TE,DEV,77,231,1,University of St. Thomas,29
La'Darius Hamilton,54,LB,DEV,74,261,2,North Texas,29
Jake Hanson,67,G,RES,76,296,2,Oregon,29
Jack Heflin,96,DT,DEV,75,304,2,Iowa,29
Kylin Hill,32,RB,CUT,70,214,2,Mississippi State,29
Justin Hollins,47,OLB,ACT,77,248,4,Oregon,29
Shemar Jean-Charles,22,CB,ACT,70,184,2,Appalachian State,29
Elgton Jenkins,74,OT,ACT,77,311,4,Mississippi State,29
Aaron Jones,33,RB,ACT,69,208,6,Texas-El Paso,29
Caleb Jones,72,OT,RSR,81,370,,R,29
Kobe Jones,49,LB,TRD,76,260,1,Mississippi State,29
Allen Lazard,13,WR,ACT,77,227,4,Iowa State,29
Dallin Leavitt,6,SAF,ACT,70,195,4,Utah State,29
Marcedes Lewis,89,TE,ACT,78,267,17,UCLA,29
Jordan Love,10,QB,ACT,76,219,3,Utah State,29
Dean Lowry,94,DE,ACT,78,296,7,Northwestern,29
Isaiah McDuffie,58,ILB,ACT,73,227,2,Boston College,29
Osirus Mitchell,82,WR,CUT,77,206,1,Mississippi State,29
Josh Myers,71,C,ACT,77,310,2,Ohio State,29
Royce Newman,70,G,ACT,77,310,2,Mississippi,29
Yosh Nijman,73,OT,ACT,79,314,3,Virginia Tech,29
Keisean Nixon,25,DB,ACT,70,200,4,South Carolina,29
Pat O'Donnell,16,P,ACT,76,220,9,Miami,29
Jarran Reed,90,DE,ACT,75,306,7,Alabama,29
Sean Rhyan,75,OT,SUS,77,320,,R,29
Aaron Rodgers,12,QB,ACT,74,225,18,California,29
Amari Rodgers,8,WR,TRC,69,212,2,Clemson,29
Jon Runyan,76,G,ACT,76,307,3,Michigan,29
Darnell Savage,26,FS,ACT,71,198,4,Maryland,29
Vernon Scott,36,DB,RES,74,202,3,TCU,29
Chris Slayton,60,DT,DEV,76,307,1,Syracuse,29
Tedarrell Slaton,93,DT,ACT,76,330,2,Florida,29
Preston Smith,91,OLB,ACT,77,265,8,Mississippi State,29
Eric Stokes,21,CB,RES,72,194,2,Georgia,29
Malik Taylor,86,WR,CUT,73,220,3,Ferris State,29
Patrick Taylor,27,RB,DEV,74,217,2,Memphis,29
Luke Tenuta,78,OT,ACT,80,314,,R,29
DQ Thomas,48,LB,DEV,74,216,,R,29
Kiondre Thomas,43,CB,DEV,72,186,1,Kansas State,29
Zach Tom,50,G,ACT,76,304,,R,29
Robert Tonyan,85,TE,ACT,77,240,5,Indiana State,29
Samori Toure,83,WR,ACT,73,191,,R,29
Quay Walker,7,ILB,ACT,76,240,,R,29
Rasheed Walker,63,OT,ACT,78,325,,R,29
Tim Ward,51,DE,DEV,78,255,3,Old Dominion,29
Sammy Watkins,11,WR,ACT,73,211,9,Clemson,29
Christian Watson,9,WR,ACT,77,208,,R,29
Dede Westbrook,12,WR,DEV,72,178,6,Oklahoma,29
Ray Wilborn,57,LB,TRC,75,230,1,Ball State,29
Eric Wilson,45,LB,ACT,73,230,6,Cincinnati,29
Juwann Winfree,88,WR,DEV,73,210,3,Colorado,29
Devonte Wyatt,95,DT,ACT,75,304,,R,29
Andrew Adams,47,S,ACT,71,205,7,Connecticut,12
Ola Adeniyi,92,OLB,ACT,73,248,5,Toledo,12
Ugo Amadi,32,SAF,TRD,69,201,4,Oregon,12
David Anenih,54,LB,TRD,74,245,,R,12
Antony Auclair,83,TE,CUT,78,256,6,Laval,12
Denico Autry,96,DE,ACT,77,285,9,Mississippi State,12
Tre Avery,30,CB,ACT,71,181,,R,12
Tarell Basham,57,LB,ACT,76,266,6,Ohio,12
C.J. Board,80,WR,ACT,73,181,3,Tennessee-Chattanooga,12
Aaron Brewer,55,G,ACT,73,274,3,Texas State-San Marcos,12
Nate Brooks,,DB,CUT,72,192,1,North Texas,12
Kyron Brown,26,CB,DEV,73,195,3,Akron,12
Randy Bullock,14,K,ACT,69,210,11,Texas A&M,12
Treylon Burks,16,WR,ACT,74,225,,R,12
Kevin Byard,31,FS,ACT,71,212,7,Middle Tennessee State,12
Chance Campbell,45,LB,RES,74,232,,R,12
Trenton Cannon,23,RB,RES,71,185,5,Virginia State,12
Shyheim Carter,36,SAF,CUT,70,194,1,Alabama,12
Tory Carter,44,FB,CUT,72,229,2,LSU,12
Julius Chestnut,36,RB,ACT,71,228,,R,12
Le'Raven Clark,61,OT,ACT,77,319,7,Texas Tech,12
Dylan Cole,53,OLB,ACT,72,237,6,Missouri State,12
Chris Conley,19,WR,ACT,75,205,8,Georgia,12
Morgan Cox,46,LS,ACT,76,233,13,Tennessee,12
Zach Cunningham,41,ILB,RES,75,230,6,Vanderbilt,12
Dennis Daley,71,OT,ACT,78,325,4,South Carolina,12
Nate Davis,64,G,ACT,75,316,4,Charlotte,12
Christian DiLauro,,OT,TRD,78,300,1,Illinois,12
Bud Dupree,48,OLB,ACT,76,269,8,Kentucky,12
Mario Edwards,94,DT,ACT,75,280,8,Florida State,12
Caleb Farley,3,CB,RES,74,197,2,Virginia Tech,12
Dez Fitzpatrick,10,WR,DEV,74,208,2,Louisville,12
Kristian Fulton,26,CB,ACT,71,197,3,LSU,12
Jack Gibbens,50,LB,ACT,76,245,,R,12
Josh Gordon,19,WR,CUT,75,224,6,Utah,12
Gerri Green,56,DE,TRC,76,250,1,Mississippi State,12
Da'Shawn Hand,94,DE,RES,75,297,5,Alabama,12
Davontae Harris,38,CB,ACT,71,200,5,Illinois State,12
Hassan Haskins,25,RB,ACT,74,228,,R,12
Derrick Henry,22,RB,ACT,75,247,7,Alabama,12
Dontrell Hilliard,40,RB,ACT,71,202,5,Tulane,12
Cody Hollister,8,WR,RES,76,216,2,Arkansas,12
Amani Hooker,37,S,ACT,71,210,4,Iowa,12
Austin Hooper,81,TE,ACT,76,254,7,Stanford,12
Tommy Hudson,89,TE,CUT,75,255,2,Arizona State,12
Chris Jackson,35,DB,RES,70,193,3,Marshall,12
Theo Jackson,29,DB,TRC,73,198,,R,12
Lonnie Johnson,20,CB,RES,74,213,4,Kentucky,12
Ben Jones,60,C,ACT,75,308,11,Georgia,12
Jamarco Jones,73,OT,RES,76,293,5,Ohio State,12
Joe Jones,42,LB,ACT,72,240,6,Northwestern,12
Naquan Jones,90,DT,ACT,75,313,2,Michigan State,12
Joshua Kalu,28,S,ACT,72,203,4,Nebraska,12
Mason Kinsey,12,WR,DEV,70,202,1,Berry College,12
Josh Lambo,4,K,CUT,72,210,8,Texas A&M,12
Harold Landry,58,LB,RES,74,252,5,Boston College,12
Corey Levin,62,G,ACT,76,307,4,Tennessee-Chattanooga,12
Taylor Lewan,77,OT,RES,79,309,9,Michigan,12
David Long,51,ILB,RES,71,227,4,West Virginia,12
Greg Mabin,30,CB,ACT,74,200,6,Iowa,12
Roger McCreary,21,CB,ACT,71,190,,R,12
Takk McKinley,,DE,TRC,74,250,6,UCLA,12
Racey McMath,13,WR,ACT,75,217,2,LSU,12
Terrance Mitchell,39,CB,ACT,71,191,9,Oregon,12
Elijah Molden,24,CB,RES,70,191,2,Washington,12
A.J. Moore,33,DB,RES,71,202,5,Mississippi,12
Briley Moore,82,TE,CUT,76,240,2,Kansas State,12
Larrell Murchison,91,DT,CUT,74,297,3,N.C. State,12
Xavier Newman-Johnson,67,G,DEV,74,297,,R,12
Thomas Odukoya,49,TE,DEV,78,253,,R,12
Chigoziem Okonkwo,85,TE,ACT,75,238,,R,12
Sam Okuayinonu,59,DT,DEV,73,269,,R,12
Steven Parker,,DB,CUT,73,210,4,Oklahoma,12
Jayden Peevy,72,DT,DEV,77,308,,R,12
Nicholas Petit-Frere,78,OT,ACT,77,315,,R,12
Kyle Philips,18,WR,RES,71,189,,R,12
Kevin Rader,86,TE,ACT,76,250,2,Youngstown State,12
Dillon Radunz,75,G,ACT,78,301,2,North Dakota State,12
Wyatt Ray,57,DE,CUT,75,254,2,Boston College,12
John Reid,23,CB,ACT,70,187,3,Penn State,12
Monty Rice,56,LB,ACT,72,233,2,Georgia,12
Reggie Roberson Jr.,,WR,DEV,73,197,,R,12
Jordan Roos,70,G,CUT,75,302,3,Purdue,12
Andrew Rupcich,76,OT,DEV,78,318,,R,12
Joe Schobert,48,MLB,ACT,73,240,7,Wisconsin,12
Caleb Shudak,11,K,DEV,67,177,,R,12
Jeffery Simmons,98,DE,ACT,76,305,4,Mississippi State,12
Eric Smith,,OT,CUT,76,308,3,Virginia,12
Andre Smith,54,LB,DEV,72,240,5,North Carolina,12
Ryan Stonehouse,4,P,ACT,70,193,,R,12
Kevin Strong,97,DT,ACT,76,295,4,Texas-San Antonio,12
Geoff Swaim,87,TE,ACT,76,260,8,Texas,12
Ryan Tannehill,17,QB,ACT,76,217,11,Texas A&M,12
Teair Tart,93,DT,ACT,74,304,3,Florida International,12
Josh Thompson,29,DB,ACT,72,194,,R,12
Derrek Tuszka,59,LB,TRD,76,246,3,North Dakota State,12
DeMarcus Walker,95,DE,ACT,76,280,6,Florida State,12
Rashad Weaver,99,OLB,ACT,76,259,2,Pittsburgh,12
Nick Westbrook-Ikhine,15,WR,ACT,74,211,3,Indiana,12
Malik Willis,7,QB,ACT,73,219,,R,12
Robert Woods,2,WR,ACT,72,195,10,USC,12
Logan Woodside,5,QB,TRC,73,213,3,Toledo,12
Paulson Adebo,29,CB,ACT,73,192,2,Stanford,27
Josh Andrews,68,C,ACT,74,298,7,Oregon State,27
Kawaan Baker,87,WR,TRD,73,215,1,South Alabama,27
Zack Baun,53,LB,ACT,75,225,3,Wisconsin,27
Jordan Brown,38,DB,CUT,72,197,1,South Dakota State,27
Marquez Callaway,1,WR,ACT,74,204,3,Tennessee,27
Taco Charlton,54,DE,TRD,78,270,6,Michigan,27
Andy Dalton,14,QB,ACT,74,220,12,TCU,27
Marcus Davenport,92,DE,ACT,78,265,5,Texas-San Antonio,27
Demario Davis,56,OLB,ACT,74,248,11,Arkansas State,27
Wyatt Davis,70,G,TRD,76,315,2,Ohio State,27
Drew Desjarlais,61,G,DEV,74,313,1,University of Windsor,27
Dai'Jean Dixon,84,WR,CUT,76,200,,R,27
Andrew Dowell,50,LB,ACT,73,225,2,Michigan State,27
Yasir Durant,79,OT,DEV,79,330,3,Missouri,27
Kaden Elliss,55,OLB,ACT,75,238,4,Idaho,27
Prince Emili,,DT,DEV,74,300,,R,27
Justin Evans,30,S,ACT,72,199,4,Texas A&M,27
DaMarcus Fields,39,DB,TRD,72,200,,R,27
Jake Funk,,RB,TRC,70,205,2,Maryland,27
Blake Gillikin,4,P,ACT,74,196,3,Penn State,27
Derrick Gore,40,RB,DEV,69,206,2,Louisiana-Monroe,27
Carl Granderson,96,DE,ACT,77,261,4,Wyoming,27
J.T. Gray,48,DB,ACT,72,202,5,Mississippi State,27
Vincent Gray,35,DB,DEV,74,192,,R,27
Ethan Greenidge,73,OT,RES,76,335,4,Villanova,27
Chase Hansen,40,LB,RES,75,222,3,Utah,27
Chris Harris,25,CB,ACT,70,199,12,Kansas,27
Deonte Harty,11,WR,RES,66,170,4,Assumption,27
Taysom Hill,7,TE,ACT,74,221,6,BYU,27
J.P. Holtz,88,TE,DEV,75,255,4,Pittsburgh,27
Jordan Howard,24,RB,CUT,72,222,7,Indiana,27
Albert Huggins,95,DT,RES,75,305,2,Clemson,27
Brett Hundley,15,QB,TRC,75,226,8,UCLA,27
James Hurst,74,OT,ACT,77,310,9,North Carolina,27
Mark Ingram,5,RB,ACT,69,215,12,Alabama,27
D'Marco Jackson,52,LB,RES,73,233,,R,27
Jordan Jackson,59,DT,DEV,76,294,,R,27
David Johnson,31,RB,DEV,73,224,8,Northern Iowa,27
Juwan Johnson,83,TE,ACT,76,231,3,Oregon,27
Tony Jones,34,RB,TRD,71,224,2,Notre Dame,27
Cameron Jordan,94,DE,ACT,76,287,12,California,27
Alvin Kamara,41,RB,ACT,70,215,6,Tennessee,27
Derrick Kelly,62,OT,DEV,77,320,2,Florida State,27
Lewis Kidd,66,G,ACT,78,311,,R,27
Keith Kirkwood,18,WR,DEV,75,210,4,Temple,27
Tanoh Kpassagnon,90,DE,ACT,79,289,6,Villanova,27
Lucas Krull,44,TE,DEV,78,260,,R,27
Niko Lalos,60,DE,DEV,77,270,2,Dartmouth,27
Forrest Lamp,77,G,CUT,76,310,5,Western Kentucky,27
Jarvis Landry,80,WR,ACT,71,202,9,LSU,27
Marshon Lattimore,23,CB,ACT,72,192,6,Ohio State,27
Jake Luton,16,QB,DEV,78,224,2,Oregon State,27
Wil Lutz,3,K,ACT,71,184,7,Georgia State,27
Tyrann Mathieu,32,FS,ACT,69,190,10,LSU,27
Marcus Maye,6,S,ACT,72,207,6,Florida,27
Erik McCoy,78,C,RES,76,303,4,Texas A&M,27
Kirk Merritt,85,WR,DEV,73,214,1,Arkansas State,27
Smoke Monday,38,SAF,RES,75,199,,R,27
Latavius Murray,28,RB,TRC,75,230,10,UCF,27
Chris Olave,12,WR,ACT,73,189,,R,27
David Onyemata,93,DT,ACT,76,300,7,Manitoba (Canada),27
Tanner Owen,,OT,CUT,77,292,,R,27
Andrus Peat,75,G,ACT,79,316,8,Stanford,27
Trevor Penning,70,OT,ACT,79,325,,R,27
Adam Prentice,46,FB,ACT,72,245,2,South Carolina,27
Ryan Ramczyk,71,OT,ACT,78,314,6,Wisconsin,27
Christian Ringo,70,DE,CUT,73,300,5,Louisiana-Lafayette,27
Malcolm Roach,97,DT,ACT,75,290,3,Texas,27
Bradley Roby,21,CB,ACT,71,194,9,Ohio State,27
Cesar Ruiz,51,G,ACT,76,316,3,Michigan,27
Nephi Sewell,45,LB,ACT,72,228,,R,27
Rashid Shaheed,89,WR,ACT,72,180,,R,27
Tre'Quan Smith,10,WR,ACT,74,210,5,UCF,27
Dylan Soehner,89,TE,CUT,78,270,2,Iowa State,27
Daniel Sorensen,25,DB,ACT,74,208,9,BYU,27
Kentavius Street,91,DE,ACT,74,287,4,N.C. State,27
Tre Swilling,,CB,CUT,72,196,,R,27
Alontae Taylor,27,CB,ACT,72,195,,R,27
Michael Thomas,13,WR,RES,75,212,7,Ohio State,27
Bryce Thompson,31,CB,CUT,71,190,1,Tennessee,27
Calvin Throckmorton,76,G,ACT,77,309,2,Oregon,27
Adam Trautman,82,TE,ACT,77,253,3,Dayton,27
Payton Turner,98,DE,ACT,78,270,2,Houston,27
Shy Tuttle,99,DT,ACT,75,300,4,Tennessee,27
Nick Vannett,81,TE,TRD,78,257,7,Ohio State,27
Dwayne Washington,24,RB,ACT,73,223,7,Washington,27
Pete Werner,20,OLB,ACT,75,242,2,Ohio State,27
Kevin White,,WR,DEV,75,216,6,West Virginia,27
P.J. Williams,26,S,ACT,72,196,8,Florida State,27
Eric Wilson,58,LB,TRD,73,230,6,Cincinnati,27
Jameis Winston,2,QB,ACT,76,231,8,Florida State,27
Zach Wood,49,LS,ACT,75,255,6,SMU,27
Isaac Yiadom,36,CB,ACT,73,190,5,Boston College,27
Kenny Young,,ILB,DEV,73,234,5,UCLA,27
Landon Young,67,OT,ACT,79,321,2,Kentucky,27
Jabari Zuniga,69,DE,DEV,75,264,2,Florida,27
Salvon Ahmed,26,RB,ACT,71,197,3,Washington,8
Terron Armstead,72,OT,ACT,77,304,10,University of Arkansas at Pine Bluff,8
Jerome Baker,55,ILB,ACT,74,225,5,Ohio State,8
Jake Bargas,36,RB,DEV,74,245,1,North Carolina,8
Kalon Barnes,35,CB,DEV,72,186,,R,8
Justin Bethel,20,DB,ACT,72,200,11,Presbyterian College,8
Teddy Bridgewater,5,QB,ACT,74,212,9,Louisville,8
Josiah Bronson,95,DT,DEV,75,310,2,Washington,8
Big Kat Bryant,56,DE,CUT,77,245,,R,8
Elijah Campbell,22,DB,ACT,71,195,3,Northern Iowa,8
Cethan Carter,82,TE,RES,75,243,6,Nebraska,8
Bradley Chubb,2,OLB,ACT,76,275,5,N.C. State,8
Larnel Coleman,79,OT,TRC,78,310,2,UMass Amherst,8
Tanner Conner,80,TE,ACT,75,232,,R,8
River Cracraft,85,WR,ACT,72,198,4,Washington State,8
Keion Crossen,27,DB,ACT,70,195,5,Western Carolina,8
Raekwon Davis,98,NT,ACT,79,335,3,Alabama,8
Michael Deiter,63,G,ACT,78,315,4,Wisconsin,8
Chase Edmonds,2,RB,TRD,69,205,5,Fordham,8
Sam Eguavoen,49,LB,ACT,73,236,4,Texas Tech,8
Liam Eichenberg,74,G,RSR,78,306,2,Notre Dame,8
Tino Ellis,34,DB,DEV,73,195,1,Maryland,8
James Empey,62,C,DEV,76,303,,R,8
Erik Ezukanma,18,WR,ACT,74,206,,R,8
Clayton Fejedelem,42,DB,ACT,73,202,7,Illinois,8
Blake Ferguson,44,LS,ACT,75,240,3,LSU,8
Eric Fisher,79,OT,ACT,79,312,10,Central Michigan,8
Trey Flowers,93,LB,RES,74,265,8,Arkansas,8
Lamont Gaillard,61,C,DEV,75,326,3,Georgia,8
Myles Gaskin,3,RB,ACT,70,194,4,Washington,8
Mike Gesicki,88,TE,ACT,78,250,5,Penn State,8
Cameron Goode,53,LB,DEV,75,238,,R,8
Porter Gustin,96,LB,DEV,77,257,4,USC,8
Grant Hermanns,,OT,TRC,79,300,1,Purdue,8
Tyreek Hill,10,WR,ACT,70,191,7,West Alabama,8
Christopher Hinton,,DT,TRD,76,310,,R,8
Jevon Holland,8,FS,ACT,73,210,2,Oregon,8
Xavien Howard,25,CB,ACT,73,203,7,Baylor,8
Robert Hunt,68,G,ACT,78,335,3,Louisiana-Lafayette,8
Noah Igbinoghene,9,CB,ACT,71,197,3,Auburn,8
Alec Ingold,30,FB,ACT,73,235,4,Wisconsin,8
Melvin Ingram,6,OLB,ACT,74,250,11,South Carolina,8
Austin Jackson,73,OT,RES,77,320,3,USC,8
Calvin Jackson,9,WR,CUT,70,194,,R,8
John Jenkins,77,DT,ACT,75,340,10,Georgia,8
Brandon Jones,29,S,RES,73,191,3,Texas,8
Byron Jones,24,CB,PUP,73,194,8,Connecticut,8
Robert Jones,65,G,ACT,76,334,2,Middle Tennessee State,8
Kader Kohou,28,CB,ACT,70,195,,R,8
Kendall Lamm,76,OT,DEV,77,310,8,Appalachian State,8
Greg Little,75,OT,ACT,77,322,4,Mississippi,8
Hunter Long,84,TE,ACT,77,253,2,Boston College,8
John Lovett,46,FB,RES,74,236,2,Princeton,8
R.J. McIntosh,96,DT,DEV,76,283,4,Miami,8
Verone McKinley III,32,S,ACT,70,195,,R,8
Thomas Morstead,4,P,ACT,76,225,14,SMU,8
Raheem Mostert,31,RB,ACT,70,205,8,Purdue,8
Calvin Munson,50,LB,TRT,73,235,4,San Diego State,8
Nik Needham,40,CB,RES,73,196,4,Texas-El Paso,8
Emmanuel Ogbah,91,DE,RES,76,278,7,Oklahoma State,8
La'Mical Perine,22,RB,DEV,71,216,3,Florida,8
Jaelan Phillips,15,OLB,ACT,77,263,2,Miami,8
Duke Riley,45,MLB,ACT,73,227,6,LSU,8
Elandon Roberts,52,ILB,ACT,73,238,7,Houston,8
Eric Rowe,21,S,ACT,73,210,8,Utah,8
Braylon Sanders,86,WR,DEV,73,194,,R,8
Jason Sanders,7,K,ACT,71,190,5,New Mexico,8
Brennan Scarlett,57,OLB,DEV,76,263,7,Stanford,8
Adam Shaheen,80,TE,RES,79,248,6,Ashland,8
Brandon Shell,72,OT,ACT,77,324,7,South Carolina,8
Trent Sherfield,14,WR,ACT,73,206,5,Vanderbilt,8
Zach Sieler,92,DE,ACT,78,305,5,Ferris State,8
Reid Sinnett,13,QB,CUT,76,220,2,San Diego,8
Kion Smith,76,OT,DEV,77,311,1,Fayetteville State University,8
Durham Smythe,81,TE,ACT,78,246,5,Notre Dame,8
Chris Steele,,CB,CUT,73,190,,R,8
Ben Stille,90,DL,TRD,76,296,,R,8
Freddie Swain,83,WR,ACT,72,199,3,Florida,8
Tua Tagovailoa,1,QB,ACT,73,217,3,Alabama,8
Skylar Thompson,19,QB,ACT,74,219,,R,8
Channing Tindall,41,LB,ACT,74,232,,R,8
Jaylen Twyman,,DT,DEV,74,285,1,Pittsburgh,8
Andrew Van Ginkel,43,OLB,ACT,76,242,4,Wisconsin,8
Jaylen Waddle,17,WR,ACT,70,182,2,Alabama,8
ZaQuandre White,47,RB,CUT,73,215,,R,8
Christian Wilkins,94,DE,ACT,76,310,4,Clemson,8
Connor Williams,58,C,ACT,77,317,5,Texas,8
Trill Williams,6,DB,RES,73,202,2,Syracuse,8
Ced Wilson,11,WR,ACT,74,197,5,Boise State,8
Jeff Wilson,23,RB,ACT,72,213,5,North Texas,8
Jomal Wiltz,33,CB,DEV,70,182,4,Iowa State,8
Justin Zimmer,96,DT,ACT,75,292,4,Ferris State,8
Matthew Adams,44,OLB,ACT,72,229,5,Houston,13
Chase Allen,47,TE,DEV,78,251,,R,13
Andre Anthony,46,LB,DEV,76,251,,R,13
Mike Badgley,6,K,TRT,70,183,5,Miami,13
Angelo Blackson,90,DT,ACT,76,315,8,Auburn,13
Josh Blackwell,39,CB,ACT,71,180,,R,13
Khari Blasingame,35,FB,ACT,72,233,4,Vanderbilt,13
Breon Borders,20,CB,DEV,72,189,4,Duke,13
Larry Borom,75,OT,ACT,77,332,2,Missouri,13
Tim Boyle,17,QB,ACT,76,232,5,Eastern Kentucky,13
Jaquan Brisker,9,S,ACT,73,200,,R,13
Andrew Brown,94,DT,ACT,75,296,3,Virginia,13
Ja'Tyre Carter,69,G,ACT,75,311,,R,13
Taco Charlton,97,DE,ACT,78,270,6,Michigan,13
Chase Claypool,10,WR,ACT,76,238,3,Notre Dame,13
Adrian Colbert,32,FS,DEV,74,205,6,Miami,13
Trevon Coley,97,DT,DEV,73,300,6,Florida Atlantic,13
Isaiah Coulter,82,WR,TRC,74,198,2,Rhode Island,13
Dane Cruikshank,29,DB,RES,73,209,5,Arizona,13
Kellen Diesch,78,OT,DEV,79,300,,R,13
Dakota Dozier,78,G,RES,76,312,9,Furman,13
Trestan Ebner,25,RB,ACT,71,206,,R,13
Dieter Eiselen,60,G,ACT,76,320,1,Yale,13
Darrynton Evans,21,RB,ACT,70,203,3,Appalachian State,13
Justin Fields,1,QB,ACT,75,227,2,Ohio State,13
Daurice Fountain,,WR,DEV,74,206,4,Northern Iowa,13
DeMarquis Gates,47,LB,DEV,74,221,1,Mississippi,13
Trenton Gill,16,P,ACT,76,219,,R,13
Trevis Gipson,99,DE,ACT,76,263,3,Tulsa,13
Kyler Gordon,6,CB,ACT,72,200,,R,13
Gerri Green,98,DE,DEV,76,250,1,Mississippi State,13
Ryan Griffin,84,TE,ACT,78,255,10,Connecticut,13
Harrison Hand,30,CB,DEV,71,185,3,Temple,13
Davontae Harris,28,CB,TRC,71,200,5,Illinois State,13
N'Keal Harry,8,WR,ACT,76,225,4,Arizona State,13
Khalil Herbert,24,RB,RES,69,212,2,Virginia Tech,13
Elijah Hicks,37,SAF,ACT,71,200,,R,13
Jalyn Holmes,91,DE,DEV,77,283,5,Ohio State,13
DeAndre Houston-Carson,36,DB,ACT,72,202,7,William & Mary,13
Eddie Jackson,4,FS,RES,72,206,6,Alabama,13
Lamar Jackson,23,CB,TRC,74,208,2,Nebraska,13
Teven Jenkins,76,G,ACT,78,320,2,Oklahoma State,13
Jaylon Johnson,33,CB,ACT,72,195,3,Utah,13
Kingsley Jonathan,59,DE,TRC,76,260,,R,13
Braxton Jones,70,OT,ACT,77,310,,R,13
Jaylon Jones,31,DB,ACT,71,190,,R,13
Justin Jones,93,DT,ACT,75,309,5,N.C. State,13
Velus Jones Jr.,12,WR,ACT,72,200,,R,13
Michael Joseph,30,CB,CUT,73,196,2,Dubuque,13
A.J. Klein,47,OLB,TRC,73,240,10,Iowa State,13
Cole Kmet,85,TE,ACT,78,260,3,Notre Dame,13
Doug Kramer,68,C,RES,74,300,,R,13
Justin Layne,26,CB,ACT,74,192,4,Michigan State,13
Alex Leatherwood,72,OT,ACT,77,312,2,Alabama,13
David Montgomery,32,RB,ACT,71,224,4,Iowa State,13
Darnell Mooney,11,WR,RES,71,174,3,Tulane,13
David Moore,18,WR,CUT,72,215,5,East Central,13
Nicholas Morrow,53,OLB,ACT,72,216,5,Greenville,13
Al-Quadin Muhammad,55,DE,ACT,76,250,6,Miami,13
Sam Mustipher,67,C,ACT,74,332,3,Notre Dame,13
Michael Niese,63,OT,DEV,77,295,,R,13
Lucas Patrick,62,G,RES,75,313,6,Duke,13
Mike Pennel,64,DT,ACT,76,332,9,Colorado State (Pueblo),13
Nathan Peterman,14,QB,ACT,74,225,6,Pittsburgh,13
Dante Pettis,18,WR,ACT,73,195,5,Washington,13
Byron Pringle,13,WR,ACT,73,203,5,Kansas State,13
Robert Quinn,94,DE,TRD,76,264,12,North Carolina,13
Riley Reiff,71,OT,ACT,78,313,11,Iowa,13
Sammis Reyes,80,TE,DEV,79,240,2,Loyola University,13
Reggie Roberson Jr.,88,WR,TRC,73,197,,R,13
Dominique Robinson,91,DE,ACT,77,253,,R,13
Jack Sanborn,57,MLB,ACT,74,234,,R,13
Cairo Santos,2,K,ACT,68,175,8,Tulane,13
Patrick Scales,48,LS,ACT,75,226,7,Utah State,13
Michael Schofield,64,G,ACT,78,300,9,Michigan,13
Trevor Siemian,15,QB,RES,75,220,7,Northwestern,13
Lachavious Simmons,73,G,TRD,77,319,3,Tennessee State,13
Roquan Smith,58,MLB,TRC,73,236,5,Georgia,13
Ihmir Smith-Marsette,17,WR,TRC,73,185,2,Iowa,13
Equanimeous St. Brown,19,WR,ACT,77,214,5,Notre Dame,13
A.J. Thomas,21,DB,ACT,74,214,,R,13
Joe Thomas,45,OLB,ACT,73,227,8,South Carolina State,13
Zach Thomas,74,OT,TRD,77,300,,R,13
Jake Tonges,81,TE,DEV,76,240,,R,13
Tavon Young,25,CB,CUT,69,186,7,Temple,13
Kindle Vildor,22,CB,ACT,71,190,3,Georgia Southern,13
Armon Watts,96,DT,ACT,77,295,4,Arkansas,13
Sterling Weatherford,50,LB,ACT,76,224,,R,13
Nsimba Webster,10,WR,DEV,70,180,4,Eastern Washington,13
Trevon Wesco,88,TE,ACT,75,267,4,West Virginia,13
Javin White,9,DB,RES,74,211,2,UNLV,13
Cody Whitehair,65,G,ACT,75,316,7,Kansas State,13
Johnathan Abram,24,S,ACT,72,205,4,Mississippi State,9
Jamal Adams,33,S,RES,73,213,5,LSU,9
Myles Adams,95,DT,ACT,74,290,1,Rice,9
J.J. Arcega-Whiteside,82,WR,CUT,74,237,4,Stanford,9
Cody Barton,57,ILB,ACT,74,237,4,Utah,9
Nick Bellore,44,FB,ACT,73,250,12,Central Michigan,9
Joey Blount,35,SAF,ACT,73,201,,R,9
Austin Blythe,63,C,ACT,74,298,7,Iowa,9
Jordyn Brooks,56,ILB,ACT,72,240,3,Texas Tech,9
Tre Brown,22,CB,ACT,70,186,2,Oklahoma,9
Coby Bryant,8,CB,ACT,73,193,,R,9
Artie Burns,21,CB,ACT,72,187,7,Miami,9
Ben Burr-Kirven,55,LB,PUP,72,230,4,Washington,9
L.J. Collier,91,DE,ACT,75,291,4,TCU,9
Justin Coleman,28,CB,ACT,71,190,8,Tennessee,9
Xavier Crawford,37,DB,DEV,71,185,3,Central Michigan,9
Charles Cross,67,OT,ACT,77,311,,R,9
Jake Curhan,74,OT,ACT,78,316,2,California,9
